sheet_name,row_index,chapter,subchapter,code_article,product_name,unite,quantite,matched_page,matched_pdf,brand,specs,matched_excerpt,match_confidence
descriptif,0,A/,"ÉVACUATION EAUX PLUVIALES, EAUX USÉES ET EAUX VANNES",A-01,Tuyau PVC Évacuation,ml,,2.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,VAVIN | NICOLL,"épaisseur de 3,2 mm | Les raccordements de l'évacuation des appareils sanitaires à partir siphon jusqu'aux chutes seront réalisés en tuyau PVC | Tous les tuyaux de raccordement depuis les évacuations des sanitaires aux chutes devront être encastrés dans les cloisons ou en plafond | Les tuyaux devront être parfaitement calibrés et raccordés dans les règles de l'art. Les diamètres seront appropriés aux appareils","PRIX N° A-01 : TUYAU P.V.C EVACUATION
Les collecteurs et les vidanges des appareils sanitaires (compris entre le siphon de l’appareil : lavabo,
douche, bidet, eau pluviale etc...) et la culotte des chutes seront en P.V.C M1 (avec pv d’essai au feu)
d’une épaisseur de 3,2 mm de Marque VAVIN ou NICOLL.
Les raccordements de l'évacuation des appareils sanitaires à partir siphon jusqu'aux chutes seront
réalisés en tuyau PVC.
Tous les tuyaux de raccordement depuis les évacuations des sanitaires aux chutes devront être
encastrés dans les cloisons ou en plafond.
Les tuyaux devront être parfaitement calibrés et raccordés dans les règles de l'art. Les diamètres seront
appropriés aux appareils.
L’assemblage se fera par colle spéciale P.V.C.
Les fixations se feront à l'aide de colliers en acier galvanisé à chaud, à double serrage et antivibratoires",0.99
descriptif,1,A/,"ÉVACUATION EAUX PLUVIALES, EAUX USÉES ET EAUX VANNES",A-02,Tuyau PVC Pression,ml,,2.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Ensemble des tuyauteries en PVC PN16 de refoulement des eaux chargés depuis la fosse de relevage vers le réseau extérieur | Le dimensionnement des différents tubes se fera à des vitesses de 2.0 m/s au refoulement | Les tuyaux devront être parfaitement calibrés et raccordés dans les règles de l'art,"PRIX N° A-02 : TUYAU P.V.C PRESSION
Ensemble des tuyauteries en PVC PN16 de refoulement des eaux chargés depuis la fosse de relevage
vers le réseau extérieur.
Le dimensionnement des différents tubes se fera à des vitesses de 2.0 m/s au refoulement.
Les tuyaux devront être parfaitement calibrés et raccordés dans les règles de l'art.
L’assemblage se fera par colle spéciale P.V.C.
Les fixations se feront à l'aide de colliers en acier galvanisé à chaud, à double serrage et antivibratoires
avec un supportage type MUPRO ou similaire.
Les traversées des planchers comporteront des fourreaux métalliques ou en matière plastique.",0.99
descriptif,2,A/,"ÉVACUATION EAUX PLUVIALES, EAUX USÉES ET EAUX VANNES",A-03,Siphon de Sol,U,,3.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"Siphon de sol avec bavette en plomb, corps bronze | grille carrée en acier chromé | Un collecteur en PVC | Les raccords PVC / Pehd","PRIX N° A-03 : SIPHON DE SOL
Siphon de sol avec bavette en plomb, corps bronze, grille carrée en acier chromé
– Un collecteur en PVC
– Les raccords PVC / Pehd.
– Les fourreaux aux sorties des regards.
vigueur.",0.888
descriptif,3,A/,"ÉVACUATION EAUX PLUVIALES, EAUX USÉES ET EAUX VANNES",A-04,Garde Grève,U,,3.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"L’entrée sera en moignon tronconique en plomb laminé épaisseur 3mm, avec platine de côté | 2D+300mm à fournir au lot étanchéité pour mise en place | Ce poste comprend également la crapaudine en fil d’acier galvanisé","PRIX N° A-04 : GARDE GREVE
Fourniture et pose de garde grève ou de couvercles métalliques inoxydables dimensionnés suivant les
entrées d'eau. Le garde grève devra s'opposer au passage des feuilles mortes et détritus divers dans les
descentes d'eaux pluviales dans les jardins
L’entrée sera en moignon tronconique en plomb laminé épaisseur 3mm, avec platine de côté
2D+300mm à fournir au lot étanchéité pour mise en place.
Ce poste comprend également la crapaudine en fil d’acier galvanisé.",0.99
descriptif,4,A/,"ÉVACUATION EAUX PLUVIALES, EAUX USÉES ET EAUX VANNES",A-05,Station de Relevage,ensemble,,3.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"de deux pompes de WILO, DAB, LOWARA (dont une en secours) pour le relevage des eaux chargées avec accessoires (clapets à boule, vannes d'isolement, tuyauterie en TFG, sonde de niveau, alarme","PRIX N° A-05 : STATION DE RELEVAGE
Fourniture et pose de deux pompes de marque WILO, DAB, LOWARA ou similaire (dont une en
secours) pour le relevage des eaux chargées avec accessoires (clapets à boule, vannes d'isolement,
tuyauterie en TFG, sonde de niveau, alarme, clapet et armoire électrique).
Y compris le système de protection afin que celle-ci soit homogène et compatible avec les régimes de
tension / neutre / terre. Il devra prévoir les protections et contrôle d'isolement des moteurs et une
minuterie pour le fonctionnent alterné des pompes de relevage.",0.99
descriptif,5,B/,ALIMENTATION EAU FROIDE – EAU CHAUDE,B-01,Équipement Compteur d'Eau,ensemble,,3.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Comprenant le branchement général du réseau eau potable à partir de la vanne laissée en attente par le distributeur dans le regard bétonné avec passe de 60cm environ | Un collecteur en PVC | Les raccords PVC / Pehd,"PRIX N° B-01 : EQUIPEMENT COMPTEUR D'EAU
Comprenant le branchement général du réseau eau potable à partir de la vanne laissée en attente par le
distributeur dans le regard bétonné avec passe de 60cm environ.
L'entreprise du lot Fluide aura à sa charge la démarche auprès de AMENDIS jusqu'à l'obtention du
branchement définitif en eau.
LOT: FLUIDES                                    3                          DCE-CH III -IND C
– Un collecteur en PVC
– Les raccords PVC / Pehd.
– Les fourreaux aux sorties des regards.
vigueur.",0.99
descriptif,6,B/,ALIMENTATION EAU FROIDE – EAU CHAUDE,B-02,Tube Polypropylène PPR,ml,,4.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"Les canalisations pour la distribution d’eau froide et d’eau chaude seront en tuyau polypropylène PPR (avec avis technique CSTB) | Les tronçons ECS en faux plafond seront isolés thermiquement par mousse M1 ep 13mm, et 19 mm pour les tronçons transitant en terrasse | L’entreprise aura à sa charge le carottage des dalles et voiles en BA si nécessaire pour le passage de ses PPR sous le contrôle du Lot GO","PRIX N° B-02: TUBE POLYPROPYLENE PPR
Les canalisations pour la distribution d’eau froide et d’eau chaude seront en tuyau polypropylène PPR
(avec avis technique CSTB).
La méthode de jonction à soudage sera par poly-fusion.
Leur mise en œuvre sera conforme aux normes NFP et DTU, avis technique et recommandations du
fabriquant.
Les circuits seront repérés aux teintes conventionnelles :
- Peinture selon couleurs normalisées
- Fléchage des sens de circulation par peinture réalisée sur les collecteurs,
Y compris le raccordement par manchon au piquage des descente des robinets en TAG.
Y compris coupes, joints, raccords, manchons, coudes, tés, réduction, percements, remplissage des
trous, les supports de type ‘’MUPRO’’ seront posés à chaque 60cm à 80cm.",0.99
descriptif,7,B/,ALIMENTATION EAU FROIDE – EAU CHAUDE,B-03,Vanne d'Arrêt,U,,4.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,Les vannes d’arrêt (tous diamètres) seront à boisseau sphérique à 1/4 de tour à installer sur toute dérivation,"PRIX N°B-03 : VANNE D’ARRET
Les vannes d’arrêt (tous diamètres) seront à boisseau sphérique à 1/4 de tour à installer sur toute
dérivation.",0.816
descriptif,8,B/,ALIMENTATION EAU FROIDE – EAU CHAUDE,B-04,Chauffe Eau Électrique,U,,4.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,ARISTON,"chauffe-eau électrique vertical, avec acier inoxydable","PRIX N° B-04 : CHAUFFE EAU ELECTRIQUE
LOT: FLUIDES                                    4                          DCE-CH III -IND C
Fourniture et pose d’un chauffe-eau électrique vertical de marque ARISTON ou similaire, avec
acier inoxydable.
Elle comportera en sa partie inférieure un fond démontable dans lequel sera placée la résistance, le
thermostat de réglage et de sécurité et mise à la terre.
Il sera muni de tous les accessoires nécessaires au bon fonctionnement de l’appareil.
L’orifice de vidange du groupe de sécurité ou de la soupape de sûreté sera raccordé à l’évacuation la
plus proche par une tuyauterie réalisée en cuivre avec siphon.
Y compris raccordement d’évacuation, robinet d’équerre Schell avec rosace et raccordement
électrique à la prise murale en attente réalisé par l’électricien.",0.99
descriptif,9,B/,ALIMENTATION EAU FROIDE – EAU CHAUDE,B-05,Anti-Bélier,U,,5.0,ALYSSE-DESCRIPTIF_FLUIDES - IND C.pdf,,"des anti-bélier en laiton poli, PN 10","PRIX N° B-05 : ANTI-BELIER
Fourniture et pose des anti-bélier en laiton poli, PN 10.",0.592
